5716	7671	1
7654	9300	1
1727	3536	1
4274	3009	1
7345	6351	1
3184	3185	1
5600	3185	1
10199	271	1
9697	9819	1
7966	7671	1
9969	9969	1
3493	9819	1
2885	9300	1
3009	8421	1
6844	6758	1
5718	5720	1
7866	9819	1
1913	3316	1
6587	2864	1
2161	9819	1
5645	4673	1
5423	6409	1
3768	6612	1
9168	8681	1
5374	6022	1
3399	6372	1
6409	5423	1
6612	3768	1
3174	9819	1
7552	6409	1
4569	10023	1
4141	8681	1
7785	317	1
8609	6059	1
4603	6246	1
3497	1281	1
6039	8177	1
5353	5924	1
6846	2915	1
6264	6023	1
265	266	1
6055	5904	1
3153	2484	1
10260	9774	1
5490	5490	1
10261	9924	1
5481	8696	1
7673	2569	1
717	3009	1
2560	205	1
9936	2578	1
912	1905	1
10023	312	1
3031	2218	1
6922	5861	1
10262	3967	1
5461	8609	1
6055	8609	1
8925	5856	1
5298	5298	1
6164	2148	1
3393	2148	1
2229	816	1
7104	814	1
5863	6175	1
2125	4374	1
6843	10010	1
4853	9065	1
3877	814	1
6175	5863	1
9	3501	1
5382	5382	1
5885	3401	1
10190	7373	1
4457	4119	1
9611	6417	1
5034	5034	1
6774	6020	1
387	1184	1
10263	10264	1
287	3989	1
4969	527	1
1478	5781	1
1848	645	1
885	885	1
594	13	1
3763	3438	1
5797	3450	1
3489	3393	1
3397	3722	1
10228	1940	1
9230	5188	1
526	573	1
10239	10265	1
2915	6846	1
3398	3866	1
7453	9391	1
7186	8728	1
7029	5147	1
8691	4408	1
7859	2422	1
5402	5358	1
5835	6286	1
9209	847	1
9017	9985	1
6234	5560	1
8756	10011	1
10012	10011	1
4220	4221	1
786	1079	1
3333	3545	1
1629	1629	1
10266	487	1
3043	8696	1
3138	5581	1
10043	9973	1
10261	4308	1
6417	9611	1
4485	5877	1
7103	9252	1
10011	10012	1
5656	9032	1
4983	4763	1
2114	4703	1
8696	5481	1
3291	3288	1
2609	6845	1
3489	3615	1
6251	1567	1
1964	2716	1
2970	4499	1
2985	9825	1
3438	3763	1
2148	3393	1
5735	5870	1
8598	3393	1
3237	422	1
13	594	1
3450	5797	1
287	4245	1
5845	5845	1
7989	5215	1
1098	1923	1
2716	1964	1
3279	2287	1
5099	2019	1
6023	6264	1
5797	5047	1
408	3670	1
5459	3543	1
2019	5099	1
5147	7029	1
4544	2287	1
9170	2287	1
8740	9554	1
10221	906	1
1517	2855	1
10245	6718	1
8609	5461	1
10039	2799	1
9335	9334	1
6339	5787	1
4169	7744	1
2855	1517	1
4077	1428	1
10267	10267	1
5345	7371	1
928	929	1
907	9498	1
4408	8691	1
3066	4597	1
4220	4161	1
3185	190	1
10268	2728	1
4158	2728	1
7082	6613	1
7250	2728	1
3877	6296	1
3556	2728	1
7631	7631	1
8696	2935	1
10269	2728	1
1786	5068	1
1695	2728	1
4788	1506	1
2045	2044	1
2214	2077	1
10232	10270	1
8743	10140	1
527	4969	1
4499	2970	1
5261	5260	1
9665	965	1
4624	5622	1
2019	186	1
10265	10239	1
1784	3682	1
9376	9377	1
1302	485	1
4518	485	1
2355	2356	1
3116	965	1
5122	4374	1
6056	10228	1
9774	10260	1
4333	5348	1
7521	8681	1
5316	9122	1
2421	5722	1
3877	1859	1
788	1282	1
8549	9122	1
3607	7444	1
5281	6103	1
5345	5345	1
6845	6485	1
4575	822	1
5348	4333	1
3877	1411	1
10165	6068	1
2646	6507	1
3438	3438	1
190	3185	1
7308	4274	1
4274	7308	1
7235	4555	1
7421	5663	1
6622	6930	1
10271	10272	1
492	2868	1
8002	1109	1
7894	5415	1
5750	2399	1
10273	7370	1
2743	1935	1
6930	6622	1
2412	3489	1
9239	8973	1
5170	1842	1
9252	7103	1
9931	4797	1
3393	3489	1
9863	4101	1
10272	10271	1
3877	1108	1
6897	4020	1
